date,ABLH_h00,ABLH_h01,ABLH_h02,ABLH_h03,ABLH_h04,ABLH_h05,ABLH_h06,ABLH_h07,ABLH_h08,ABLH_h09,ABLH_h10,ABLH_h11,ABLH_h12,ABLH_h13,ABLH_h14,ABLH_h15,ABLH_h16,ABLH_h17,ABLH_h18,ABLH_h19,ABLH_h20,ABLH_h21,ABLH_h22,ABLH_h23,AQI,PM2.5,PM10,NO2,SO2,CO
2024-01-01,157.12234,773.0969,811.49976,871.52686,944.4844,1020.48706,1056.5869,1053.1904,937.7268,129.39622,47.454727,42.524536,43.55931,46.855408,51.884598,57.796524,54.980713,51.00125,52.180923,50.17859,40.719833,37.006256,30.370178,42.10327,112,84,130,29.0,7,1.0
2024-01-02,96.539,179.8861,277.34058,514.03345,594.4346,696.2661,712.05615,670.10913,573.6909,136.31174,117.148834,152.55757,240.88689,343.74976,311.8452,258.19263,261.27783,263.98438,394.6958,458.47437,495.62598,581.801,648.6626,660.1604,170,96,7,0.75,50,40.0
2024-01-03,693.6655,704.05664,709.2727,714.6516,723.04346,739.92236,744.0071,731.79736,684.7405,591.35864,212.95183,166.05151,146.54776,121.22368,90.89581,60.525757,36.189163,23.954987,26.04924,32.1418,43.956192,56.70392,55.321518,57.073486,103,77,110,29.0,6,1.02
2024-01-04,82.66214,343.28906,395.99683,472.96948,598.44336,658.6074,664.34814,637.52295,505.20605,171.61284,139.11346,147.68962,149.68837,143.7834,129.74963,114.27478,96.11679,80.956436,65.198456,59.50586,56.86345,56.11487,38.23909,36.799988,113,85,124,48.0,8,1.02
2024-01-05,72.27051,125.0634,196.89246,340.02954,534.4509,709.84766,815.1382,783.95703,416.53467,73.81546,46.021957,39.468323,37.667557,35.64818,35.145447,34.801758,31.443222,24.444916,19.259384,23.75206,32.64853,37.788345,46.757034,58.224808,245,97,9,0.98,60,41.0
2024-01-06,68.16406,106.43404,185.07925,367.02808,558.06055,799.9048,967.3369,996.43677,799.6897,314.19702,159.74344,141.41609,122.21886,123.25746,132.15448,127.53308,128.18896,127.32355,137.96924,146.06183,163.63155,163.41858,177.7565,192.78079,169,128,178,79.0,11,1.47
2024-01-07,255.26161,369.69946,555.77856,825.1968,1101.4248,1174.0928,1196.7358,1180.6077,1116.1079,405.24023,192.62524,275.3462,362.32056,351.19238,327.97632,288.85303,269.5437,249.29057,232.91457,219.30116,207.65239,175.00964,153.28644,172.89426,114,85,120,52.0,8,1.05
2024-01-08,328.0376,600.0542,699.1731,742.32666,764.92017,778.15674,803.8696,770.5156,653.8721,501.50952,272.23926,278.73706,282.3369,270.65454,248.87602,221.85536,216.22183,209.37125,195.73561,160.34886,112.659485,71.55295,42.86328,35.646683,36,38,7,0.68,41,30.0
2024-01-09,46.54567,180.85085,308.60913,467.239,631.96875,779.17773,933.36865,884.94214,539.5425,188.52722,145.88432,190.38554,230.63458,296.6753,515.33105,687.1094,749.7654,815.7595,894.90845,769.4597,587.02563,556.5276,522.8906,496.78442,109,82,119,53.0,8,1.0
2024-01-10,555.98145,1042.0007,1164.2749,1206.3054,1232.0691,1219.7979,1252.6604,1293.4082,1257.7156,1112.0332,320.5481,198.00761,120.47751,90.055756,79.409195,62.491013,47.51027,34.066666,18.331055,21.86,30.894775,37.553818,33.71826,53.892883,159,120,158,37.0,8,1.11
2024-01-11,104.4393,253.93222,378.04126,470.3584,565.7781,662.35376,730.5481,738.8064,615.4536,68.73857,56.71988,65.21974,72.16254,78.67749,81.473526,79.39978,72.66672,64.634445,59.753952,53.839798,48.465897,43.66545,39.621735,42.324905,140,106,154,63.0,8,1.1
2024-01-12,54.34236,87.632385,145.57867,312.6765,590.5593,761.72656,846.4138,833.9182,346.29663,62.97023,33.0813,27.977554,23.98555,18.765106,14.877202,14.548509,16.878662,16.371002,12.64589,10.306416,14.506009,19.626648,18.079208,18.56314,102,76,113,71.0,9,0.95
2024-01-13,16.957367,50.34221,123.67052,252.40796,422.86963,563.96045,617.0862,560.4509,378.073,240.17435,187.89487,204.34424,223.6256,230.42522,227.69623,219.89397,203.65489,175.32434,147.0292,121.34889,105.81996,97.55234,99.053406,110.41356,127,96,140,85.0,12,1.17
2024-01-14,139.2442,202.44385,274.45264,337.49976,458.77856,886.87573,1087.7656,994.4407,712.2539,627.6094,600.39233,560.5974,512.20605,549.58374,586.6987,644.22095,689.7146,705.9724,727.4658,734.6992,722.5032,720.4441,723.1023,712.65796,181,109,10,0.86,41,74.0
2024-01-15,720.3601,770.9426,818.61304,889.9446,966.7407,992.8833,1015.417,1010.60474,962.63403,773.2329,244.3767,258.41626,271.92944,268.4109,262.5525,243.33969,229.91847,207.18793,194.55026,180.62625,177.23906,164.10869,168.25641,203.01428,58,47,6,0.65,23,50.0
2024-01-16,344.9026,904.49536,963.3777,991.3638,1015.42944,974.52344,928.1255,894.89453,819.3103,674.99634,461.28516,464.82178,491.90112,484.2107,460.92432,438.98804,424.94458,395.10278,341.58838,305.0913,274.46484,238.48358,165.50368,176.1202,32,32,7,0.55,30,49.0
2024-01-17,218.88878,299.36304,389.08228,461.78613,525.03564,595.57056,672.615,687.2927,466.4851,74.989456,75.68179,90.96236,119.84845,144.6963,153.05812,154.06358,169.30116,201.02936,236.96962,265.43628,297.30127,325.34863,323.30322,328.8916,110,60,7,0.49,36,60.0
2024-01-18,319.83423,366.8501,405.78223,451.02515,524.8782,554.7822,531.5344,474.6714,427.38525,397.37964,335.63428,303.094,284.50977,245.01585,234.43578,255.66452,278.80396,285.17578,298.94702,334.53467,376.27148,398.01245,397.32593,412.30273,166,72,6,1.0,47,4.0
2024-01-19,402.30347,383.58618,387.15088,407.2234,436.77612,470.8181,516.8718,546.97046,553.69946,544.06274,473.90186,460.09375,432.9297,376.46948,332.1814,318.59497,339.8047,381.16235,405.19336,413.7268,438.32153,460.52905,459.7434,505.47607,82,35,4,0.78,30,32.0
2024-01-20,519.77905,505.3235,532.6526,568.06104,603.3203,627.31055,637.98755,663.39795,684.49023,678.95557,663.8689,671.9011,681.29346,700.9199,711.6599,705.2229,694.2678,686.29443,684.3323,685.7112,663.8987,628.2561,618.4717,626.2009,121,35,5,0.9,28,21.0
2024-01-21,629.6345,636.59985,683.1162,700.4739,721.28906,730.2925,756.7019,777.52905,804.78394,847.51465,796.64624,881.0293,919.772,977.5947,1010.6316,1041.2053,1012.3718,987.0393,947.9463,942.6216,941.35547,931.5095,931.6111,1030.7332,246,62,5,0.83,27,22.0
2024-01-22,1123.0474,1121.0933,1112.3506,1126.176,1177.8003,1243.0315,1318.6392,1374.2458,1374.3213,1297.5723,1336.106,1287.2422,1168.168,1073.9824,1010.70703,990.2112,958.65063,929.86255,884.02026,844.4717,832.4956,819.91943,1060.8696,1077.9814,234,43,6,0.65,20,48.0
2024-01-23,1117.1248,1152.2661,1180.6235,1189.8064,1185.7922,1181.873,1203.9033,1231.7261,1223.2368,1169.4854,921.43335,805.81885,787.1482,795.2959,823.9407,888.47314,890.5464,862.7617,845.8274,801.3196,735.9988,664.3777,644.31445,571.2871,99,32,7,0.63,18,55.0
2024-01-24,705.30493,831.7478,926.3701,1001.0459,1041.6147,1043.1758,1054.5115,1061.7551,1023.6111,885.92676,244.76099,189.03925,177.66927,156.8483,135.29088,145.33623,167.61328,170.583,148.2556,132.75092,137.26894,152.82036,165.7526,123.397415,150,48,8,0.75,28,46.0
2024-01-25,143.61238,320.9651,813.9248,1068.425,1158.2522,1210.199,1240.792,1197.1846,1053.4885,543.68945,120.23361,61.994034,55.17633,63.50615,57.24414,44.8777,38.87938,41.64154,39.83362,40.006226,40.486343,39.0524,31.879364,30.657288,228,70,9,0.77,43,37.0
2024-01-26,49.754044,151.71025,566.18115,1016.35693,1170.3855,1220.5061,1205.8813,1078.926,937.5315,475.58057,181.72542,125.234695,85.220825,71.24925,53.653442,39.555023,36.548203,35.801743,34.67511,41.153244,48.62552,48.583862,43.812088,41.42958,249,89,10,0.82,55,35.0
2024-01-27,54.430023,132.33441,245.88312,569.25,896.77856,1136.325,1227.9023,1203.5422,1087.3591,589.834,150.60753,68.04115,51.619537,55.169525,66.16879,80.116425,72.43979,59.98375,53.668488,58.45021,60.77466,58.508698,70.26082,67.529816,112,84,117,62.0,12,0.95
2024-01-28,102.22531,240.78328,407.6018,795.1172,939.44214,1022.73706,1079.5405,1072.3792,921.708,152.19984,49.90396,32.22606,19.175293,17.72258,23.638092,38.770935,59.038696,77.515564,85.23663,106.64548,118.88425,127.62181,110.989105,130.41452,104,78,111,62.0,11,0.97
2024-01-29,181.92462,346.99023,450.13916,548.06885,698.80225,789.7588,862.48145,858.3452,767.751,583.87427,390.34302,400.41162,385.92676,368.6255,381.1394,375.00635,357.05835,333.03662,316.64917,307.25366,294.94873,263.40063,174.40941,152.44418,111,83,121,48.0,10,0.83
2024-01-30,162.42606,216.87996,308.021,399.1438,513.8198,560.84595,604.4004,588.84155,513.0254,220.49918,121.397,128.58067,123.94835,124.992676,121.25688,102.07132,101.137085,110.63347,114.50235,118.4507,134.5176,136.53697,82.11481,104.0509,63,48,6,0.6,25,55.0
2024-01-31,123.5737,90.459335,45.758636,98.93988,102.74159,172.5729,230.41127,295.71265,267.35278,209.40672,130.47307,124.30046,132.99858,154.3958,139.8939,90.4872,110.01712,136.35895,160.11304,180.96777,200.00162,227.79459,294.89453,324.99976,31,29,5,0.63,37,15.0
2024-02-01,378.70264,490.45874,603.8086,625.17017,612.42773,601.54663,621.55835,648.4558,668.64185,696.8865,706.0757,680.7041,656.9365,632.4463,623.0188,625.4243,623.34717,604.15137,581.2119,576.66235,580.01245,557.8296,535.199,504.3252,15,16,4,0.58,26,43.0
2024-02-02,507.03125,528.3943,541.17725,559.5188,571.51074,618.1638,633.9927,658.44824,643.0884,626.64087,608.11084,541.376,517.79126,479.3877,443.0337,413.82202,398.0774,385.5288,380.92285,369.63452,353.67114,335.011,421.1919,392.5713,76,27,4,0.48,17,53.0
2024-02-03,416.1704,424.04443,368.49316,343.91016,349.92236,394.09766,421.70288,449.75024,463.3269,476.78784,469.48608,471.16846,484.22583,490.13354,491.88232,475.9319,446.64282,430.14917,435.5691,448.77417,440.7102,420.5857,380.50513,381.23486,31,17,5,0.61,20,48.0
2024-02-04,378.5127,409.0857,402.90454,389.91846,391.90186,418.9077,453.98926,343.87988,255.29872,217.69092,278.9109,348.28076,474.7412,496.23535,532.4192,629.24023,763.23535,757.6721,764.94824,769.59937,777.43604,745.94995,845.62476,851.7009,87,26,5,0.74,20,42.0
2024-02-05,922.98193,894.93823,917.5342,970.0266,995.11035,986.5879,971.6033,953.4004,930.2053,891.14355,774.15674,745.041,686.5239,707.7051,653.71875,607.3152,569.395,542.50977,499.6255,444.44946,420.3562,431.61987,443.78125,423.58862,119,37,5,0.69,13,58.0
2024-02-06,421.55566,493.01147,515.6887,569.7002,554.52686,575.6074,557.2229,493.92627,416.0171,453.80908,331.67847,289.6936,333.37354,403.50317,371.8484,420.08667,421.10864,428.2776,416.96948,433.30396,459.8728,443.0078,414.64624,397.92676,211,77,6,0.85,20,52.0
2024-02-07,428.9795,509.61377,574.76465,628.38086,709.0652,713.355,787.36816,817.2185,895.1538,895.3992,333.3806,294.71802,313.03418,291.33545,246.70763,133.47563,165.60951,220.09645,265.36426,254.453,256.1504,285.06787,250.60524,180.2644,150,63,7,0.88,21,56.0
2024-02-08,249.08961,569.73364,838.4424,1066.2654,1206.5762,1301.2507,1273.4109,1233.6255,1145.5422,835.2737,159.06543,128.34843,119.55736,116.61078,112.61357,108.97165,97.65895,94.13028,103.68753,134.27625,153.23665,139.79845,96.0849,77.686584,140,72,9,0.91,16,88.0
2024-02-09,173.02884,389.8933,703.99585,933.0254,1098.5222,1212.4766,1235.8267,1219.0254,1090.7817,324.81665,46.653763,20.898956,12.36612,11.002139,15.471993,25.198517,33.619873,36.87625,40.053574,42.93466,45.69304,47.880096,51.71454,52.54306,140,107,134,20.0,8,1.08
2024-02-10,75.71893,148.63701,353.07495,640.5488,1020.8513,1238.7148,1357.4641,1338.5442,1047.1743,41.416656,31.439926,34.47316,31.729202,29.672897,28.750427,25.07425,24.47519,35.272217,55.23636,236.33974,284.45752,196.07362,145.06781,113.71492,177,142,172,21.0,10,0.84
2024-02-11,168.76147,280.08496,453.47485,719.90186,1081.9846,1411.9004,1471.4048,1429.3428,1180.3088,94.8723,34.701553,34.293182,39.224243,44.15895,52.913437,65.60237,78.26877,90.07384,96.86522,95.76572,92.61876,91.05911,89.435135,102.064514,151,91,8,0.73,16,75.0
2024-02-12,136.5618,196.82344,289.32324,460.76343,727.0105,864.8281,927.8076,904.78076,767.88745,219.93555,146.60718,172.15895,209.75354,241.33527,259.6328,260.77734,252.44571,248.80493,245.59537,247.83359,243.22952,233.69823,168.44388,196.81407,122,79,7,0.63,10,93.0
2024-02-13,299.9331,456.16382,595.5879,741.5845,944.6948,1082.283,949.1196,893.97,744.16187,146.77515,77.422,58.637527,83.64371,149.38571,182.38031,179.21156,137.98697,119.91191,112.77739,104.08339,88.50151,84.20177,82.07431,93.15636,69,51,6,0.5,8,90.0
2024-02-14,141.1965,205.36086,259.56567,316.76367,510.6538,791.87085,956.0508,1036.022,984.04663,256.92554,54.208145,63.72583,82.51587,97.669556,108.04767,108.35094,96.65842,77.77763,62.3705,45.054123,19.420395,17.122177,33.54271,64.26596,50,39,7,0.49,11,71.0
2024-02-15,379.14746,486.73462,565.3943,690.64404,825.9263,861.56006,845.0261,806.99,809.46704,848.4143,958.0344,972.449,1028.1433,1011.24365,918.77783,873.7068,869.9287,812.44556,740.532,641.98486,609.7383,472.75806,161.94452,126.75394,134,42,5,0.58,13,55.0
2024-02-16,284.33032,662.9861,850.07886,895.84546,965.1294,988.31616,960.27686,933.8684,856.47095,642.7617,292.64062,258.28125,244.73564,256.68652,275.58936,279.39673,256.14258,223.3193,188.81651,168.99486,171.71652,174.29016,160.77463,181.53441,49,27,6,0.7,7,78.0
2024-02-17,206.70082,262.635,352.97803,427.78125,494.37622,546.5635,593.5259,604.52026,436.3379,227.40271,155.77206,155.91866,162.45004,166.33794,184.1653,193.6035,194.61435,192.66222,193.31242,180.23392,174.86646,167.14581,134.09755,174.96794,38,29,6,0.6,13,67.0
2024-02-18,209.87035,248.86037,351.53613,444.15356,561.7903,698.97485,845.63965,977.1277,933.7488,602.156,162.20064,182.9806,178.18774,194.02336,226.32968,197.9423,150.12108,82.04761,27.988754,15.633174,20.392242,22.310822,18.65918,14.300995,38,28,5,0.46,11,61.0
2024-02-19,21.9458,83.68646,341.58325,498.34082,571.8154,712.9177,767.3462,713.73486,609.8357,526.7932,443.11328,421.3313,434.2146,461.97388,474.0005,497.8877,526.90845,538.34814,549.2031,552.27344,543.6863,513.2573,493.22778,510.73315,137,42,5,0.63,18,37.0
2024-02-20,513.61865,486.219,462.12085,470.40845,469.29224,467.92114,497.17407,499.62476,512.94653,513.7334,489.11426,503.45068,479.3872,456.3357,426.95117,366.6272,342.40625,326.63208,266.65356,250.34207,274.25732,293.92383,392.69604,424.92285,16,16,4,0.55,12,46.0
2024-02-21,439.5642,439.91162,427.93042,421.61597,450.67432,467.59692,500.5835,552.9241,607.78735,640.5415,627.73047,676.9949,672.10254,676.3867,666.83936,652.85913,644.82983,641.53345,648.3667,626.6135,632.8638,627.07275,647.28076,621.4778,20,14,4,0.63,15,40.0
2024-02-22,626.9033,620.98096,617.6946,665.1008,668.9153,666.6306,665.37354,690.8069,668.3821,632.9238,622.64404,621.71387,620.4297,582.7588,572.36646,570.83105,572.9292,577.0847,585.0283,591.1411,564.34766,502.0498,469.38208,516.3462,95,23,4,0.6,18,40.0
2024-02-23,534.5425,527.73413,561.7969,618.0664,703.87915,791.5166,860.8142,800.50635,737.29785,651.1543,643.9436,574.5979,532.8977,558.40454,522.7407,513.5254,501.23755,471.48926,460.19336,447.24658,419.66016,419.56543,417.073,409.08252,211,43,5,0.66,20,47.0
2024-02-24,384.5205,424.1504,448.2307,486.94727,508.15015,545.5178,561.7141,588.99023,619.15454,632.6797,579.5969,620.15063,699.78296,797.947,845.9888,840.6465,847.4553,895.67065,927.08545,969.0515,1014.0249,1039.4268,1093.7627,1032.7161,137,47,5,0.79,17,51.0
2024-02-25,1022.86646,1050.8281,1052.2402,1072.3774,1129.5791,1149.8672,1160.5449,1183.5281,1183.4236,1173.1313,684.58057,508.09424,324.4087,319.9602,302.4287,320.97363,365.37598,360.25732,447.38086,523.93384,530.0244,505.75,455.02905,320.9712,144,61,6,0.69,12,79.0
2024-02-26,432.80664,572.23145,808.4121,1001.0217,1126.2537,1247.0784,1372.3337,1409.0608,1094.5593,745.88184,563.78613,568.14795,527.2261,472.8313,440.96875,401.69556,359.92456,347.33618,346.0835,331.19092,300.88574,272.96436,226.19504,149.0609,104,78,103,30.0,8,0.93
2024-02-27,256.79956,485.604,943.42725,1069.5857,1159.863,1189.468,1204.8872,1208.4065,1191.5356,1119.5034,87.44173,64.0979,76.99094,102.94524,130.11366,156.58699,171.47165,159.70421,153.367,169.18427,170.60298,157.68536,174.48174,194.93958,131,70,6,0.59,28,69.0
2024-02-28,150.2215,175.19528,181.22397,157.64645,137.71077,199.39142,210.12033,213.83751,202.76863,195.76176,160.90926,172.3508,174.0031,172.15013,162.86467,143.99731,145.14548,147.54663,146.29454,166.78928,244.71771,375.94434,399.33398,410.42676,76,46,6,0.68,40,32.0
2024-02-29,476.0315,487.99097,498.94336,514.2632,523.3452,539.0425,596.3179,636.7217,649.9634,620.9043,592.1377,604.96436,664.31885,717.74097,723.58716,705.6887,717.416,720.938,736.8076,786.1775,800.91064,798.4082,814.14453,867.01196,69,26,5,0.68,23,43.0
2024-03-01,843.3447,869.6494,956.6738,1093.175,1264.6086,1417.0859,1560.0288,1580.4009,1429.7256,1181.6836,568.3821,424.40283,405.5088,329.29004,289.4956,249.02315,204.46259,154.55553,118.33563,89.71039,67.05606,51.46393,28.943878,21.515686,93,37,5,0.4,17,73.0
2024-03-02,151.25377,572.8286,870.7949,1023.667,1153.98,1369.3398,1534.7407,1638.4292,1542.5295,173.0134,112.26274,106.49667,140.55107,157.57205,163.07726,141.05363,104.54082,87.84906,81.82666,70.82045,63.623123,61.26291,56.353836,55.937622,154,63,7,0.51,35,63.0
2024-03-03,88.41467,180.71336,414.05273,872.77783,1195.8762,1297.6279,1253.6399,1129.2258,935.65186,523.64136,332.03418,316.13745,316.1853,320.15405,338.4336,359.56958,369.99194,364.9734,326.9619,287.14258,275.1643,267.2046,254.66728,272.6057,206,74,7,0.69,29,78.0
2024-03-04,294.6897,321.1223,307.01123,312.35938,316.30615,352.1399,422.12183,339.7151,186.13348,124.11983,98.93268,88.871506,77.03613,69.93349,66.2079,57.618103,46.693466,24.451096,36.45363,57.229523,85.61246,119.829666,133.58487,202.52716,113,51,6,0.65,23,79.0
2024-03-05,292.50073,327.12622,325.49414,337.36816,396.54126,453.2412,508.4829,535.8064,562.29565,566.31616,545.0703,522.3386,525.19824,552.7771,553.2688,575.52295,619.65283,633.10034,634.7573,632.5818,639.541,649.91016,587.30273,587.22266,24,25,5,0.8,33,24.0
2024-03-06,604.48315,608.74243,619.0315,679.86694,794.2178,927.41235,1073.7422,1151.8586,1161.0383,1117.905,629.80176,487.92236,396.05078,329.4065,274.69824,231.58246,244.92136,261.2351,219.1515,169.91626,168.1306,171.68533,111.0341,89.97693,142,59,6,0.78,31,58.0
2024-03-07,228.55597,398.0559,642.824,881.6885,1028.4719,1126.0435,1241.8689,1254.4062,1051.3484,647.92065,55.741592,32.920837,30.187393,27.316238,36.48091,85.18689,223.93317,418.53198,553.5764,664.67236,647.636,602.3042,361.28247,429.84058,149,73,8,0.92,32,77.0
2024-03-08,602.6387,734.2173,942.6621,1195.2878,1444.4443,1745.0935,1847.7593,1814.6648,1813.5615,1329.8596,191.6863,75.92853,57.76216,69.25667,80.48114,88.400116,87.54428,82.58148,65.85039,40.15622,31.036133,46.307404,59.397934,85.46925,288,100,7,0.83,29,82.0
2024-03-09,221.02644,462.92334,834.6714,1298.6758,1481.2495,1498.2334,1464.9336,1370.8604,1331.0283,1028.9963,222.23909,281.90527,330.45215,342.1311,344.84766,348.67847,332.10352,300.8181,239.23827,199.47191,174.65514,170.46324,167.42548,259.96094,243,83,7,0.73,33,89.0
2024-03-10,426.67896,555.78125,673.32544,768.0532,818.58545,844.18164,830.58545,760.2866,634.6909,488.8672,342.0974,320.04565,316.02173,310.3667,313.54297,324.12573,310.22754,285.4563,276.3794,261.97217,249.55876,231.5492,220.56157,209.99992,120,63,7,0.62,22,98.0
2024-03-11,222.74605,192.80836,209.47026,207.89223,272.5564,468.0315,825.3523,1252.7964,1373.3909,943.3086,40.684708,40.82451,50.503876,61.18071,71.785,76.207794,76.30412,77.96808,78.28851,76.277145,71.12009,65.19307,47.364014,62.803146,127,66,7,0.77,46,56.0
2024-03-12,212.13753,420.50806,751.855,1030.5854,1264.1619,1372.0764,1749.5281,1502.9155,1212.7524,949.5979,630.3794,490.75146,404.11597,331.71436,271.26636,216.84106,152.81741,108.119,93.24394,67.76056,69.501236,67.365555,72.29265,110.457596,209,90,7,0.87,51,58.0
